DIA,HORA,MINUTO,COTACAO
14,0,0,19934.0
14,0,10,1959.8
14,0,15,20020.2
14,0,20,20248.2
14,0,30,20391.0
14,0,25,20418.8
14,0,40,20945.8
14,0,45,21046.8
14,0,50,20910.5
14,1,0,20910.0
14,1,5,20973.1
14,1,10,20995.7
14,1,15,21002.2
14,1,20,21020.5
14,1,25,20944.3
14,1,35,20725.1
14,1,40,20821.3
14,1,45,20856.7
14,1,50,20919.6
14,1,55,20902.5
